cust_id,status_cust_id,class_atual,deals_group_on_wpp,link,tipo_link,status_proc,id_api
1029902351,Confirmado,KAM - top 1000,Sim,"geral: https://chat.whatsapp.com/KD3HqqR0Kz6EHM6tSuTrLx
tecnologia: https://chat.whatsapp.com/EsUGVz7d3HE8VRSuxVeIf4
F&H: https://chat.whatsapp.com/LVjBT22V8ZQ8WAjejQItnK
Lifestyle: https://chat.whatsapp.com/Cg9WQ9seejyL0J09xDad30",Grupo,ERROR,
73418100,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BDO3Mirgc7xFReDJ9QxZ82,Grupo,ERROR,
408274567,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Db4BoPO9UqOKZkIx59xKiT?fbclid=PAZXh0bgNhZW0CMTEAAacXAsUaz1cyBlxuWLc9fZwsfkiJsenTyr88j5hFKyHok0eeIW6c3eZQU_g9zQ_aem_Dmy4nL0HwtdvuO4boZzsDQ,Grupo,ERROR,
47897711,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/DiaQsENFguqJvobfT8ohim,Grupo,ERROR,
5399188,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FzoBRhQjSBR8qAaYXWbBWx,Grupo,ERROR,
2221972417,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/ESRK7K8eTez9n4tsWi8Ca3?mode=wwc,Grupo,ERROR,
1439663675,Confirmado,KAM - top 1000,Sim,"Beleza: https://chat.whatsapp.com/G02RqQeQqpnB0xWgdQFvWA?mode=wwt&fbclid=PAZXh0bgNhZW0CMTEAAacSQHVJ7LbEUect-pcX_E_orowg_Itnw8INDDtNhQ62l21ftvsCB-Mti-QePA_aem_1kabZsyotTOB5r4VKJ9cyQ

H&F: https://chat.whatsapp.com/JHaDGhmuVTZEMATgfbh2xB?mode=wwc&fbclid=PAZXh0bgNhZW0CMTEAAadmS8xsa-VOPhmuXHaigTDrGvOHG4p6nCmA2Jy4GJAiVXoE8v1lPh4N5OkNgg_aem_29ZxK9qUXTg-cP8AGYuZAw",Grupo,ERROR,
490589317,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BphOj310T5a9h7yZ3I9a8l,Grupo,ERROR,
1439548649,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/J2sN803vT9cCnfPNtWYmhM,Grupo,ERROR,
1756402797,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HEi2otzaI1E8NVJDxyFBNo?mode=ems_copy_t,Grupo,ERROR,
2009130689,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GRFJfs23lgYBEmRSmbRyzl?mode=ems_copy_t,Grupo,ERROR,
1485911737,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IyJYqH1gXxAJ3IDAd6GBrf,Grupo,ERROR,
448250295,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GbdkHTyBqRm9zeMfi4sqfB,Grupo,ERROR,
257830843,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LGcaf2hLrGTA4xmoOKbScu?fbclid=PAZXh0bgNhZW0CMTEAAadKbAjrvtlt93Z1vU8QqLZ7y55BzKHdOZcK8M9InBjmI9234jyRwnhBOLysRg_aem_O91CVD30ELOHuxLipW0DSw,Grupo,ERROR,
147294155,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GlZbsfe4H0q7GdhETjruhL,Grupo,ERROR,
241322914,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HkZ6ShSsbeg1gQ2JBPo9Vs?fbclid=PAZXh0bgNhZW0CMTEAAaf9MTtDTajtcKqfeXh4kRc33Me85ugZLxZrmV-4w1mxRdti5aZXx3G9yQNOsw_aem_CjJmyhj6IpZRdi-wAtd8-g,Grupo,ERROR,
1422595957,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LFxnhypmd5BDGFgneCPrkE,Grupo,ERROR,
807123036,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BJK04Bp8B0TBWJDs73DNxc,Grupo,ERROR,
1539409111,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KXGSBZpRWnc5c66bbkNL1b,Grupo,ERROR,
1490703847,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FPXOx5VQyej1vQozBLve0H?mode=r_c&fbclid=PAZXh0bgNhZW0CMTEAAaerANDtOA9-09v80KsS86j8jZG3nr30IMesluunHwol1wDhWW7YHdPxWFH_sg_aem_YLvb9T5PjSTYQPFN52q8Vg,Grupo,ERROR,
107916024,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/DxZvHGHttCaD6JyJDH909k?mode=wwt&fbclid=PAZXh0bgNhZW0CMTEAAafDOQHHkx43U6V6yK1GZ0KWi3WAZMWWaw8rgPdMLzTBFFgHMY8JDIzKpHEVkw_aem_-wdaoGB2zHWQUF09AzvSgw,Grupo,ERROR,
200355621,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Jtzve7J0p4iHcq4p9dSJnE?mode=ems_wa_t,Grupo,ERROR,
167259214,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GotYoYy1r6zAJ8YYtk82qe?mode=ac_t&fbclid=PAZXh0bgNhZW0CMTEAAadMWMagcqJdIYmZJSZ4R8GFjSVIPidZOKegyRWCrH6fm-LAmUjxYNzdfGsgNg_aem_6Rd6CcTSu1qnnloj1lOpOA,Grupo,ERROR,
530861291,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/EzsDwzVMrKiHt0xXqPPoRJ,Grupo,ERROR,
221861528,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IMOcURMw4WtDUkLzbidJI8,Grupo,ERROR,
1217794331,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Chcg5YTJDdRIgDNycwYBx0,Grupo,ERROR,
2200130866,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Lqua75hMObP5wXwKCyiq7o,Grupo,ERROR,
742314482,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FsvG2pXtqDX9QDfbWuaJUR?mode=wwt&fbclid=PAZXh0bgNhZW0CMTEAAaf7m7PUmfqKEkv93xlrvg8Qsw37w3HubItTgUP9LpDrfjd_hXnwTFvrlVQ-5w_aem_zsY6aAKg8GxvUz_AobOnlQ,Grupo,ERROR,
152436288,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LrWXs2jt86p0cwA9m9SOGE?mode=wwc,Grupo,ERROR,
1434017443,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Et7TUni8qau1CB1v63QDTk?fbclid=PAZXh0bgNhZW0CMTEAAadNvhRlmB0Y6OiUEV3lYuJX_wulJhRMArpIp0BKQYqXUqsoaIjN1Go0T5r30g_aem_SwNOONH9q2vj8cZIBGoWWQ,Grupo,ERROR,
183440224,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/L1sC7x9NRND6v2T4IVXowY,Grupo,ERROR,
141495725,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/3GnbahT2kj07ibWPPnar6t,Grupo,ERROR,
49674458,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/D5Si0eBiQZj9DZaRSJDgrA,Grupo,ERROR,
1799164964,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FhGAAsVS7LDIUWw6lvxzut?mode=wwt,Grupo,ERROR,
1436446356,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/H6Ifwzn9NNA7GYBGdgD1lt?mode=wwc&fbclid=PAZXh0bgNhZW0CMTEAAae9DLAmGPQI5lKWR2Gr8mfsniySC52IWgxm8c1sxa5Kuoq1f_o1kg386B8P8g_aem_2KzAX6jZKtoRMwV3rhh3DQ,Grupo,ERROR,
615723245,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/DCxjP81VSPYBL6Gxv9H52C,Grupo,ERROR,
1462250546,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/C66THFmOr0eLheskj0llLl,Grupo,ERROR,
103699751,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KUZStrTHW8n6ITKXFfcCeL,Grupo,ERROR,
1391252882,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Ej9Le27nnVJFwMi7HsDgkt,Grupo,ERROR,
136551174,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KTmWGkMPgymIZSlUxvK2D3,Grupo,ERROR,
1173888746,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KWqUZWZVI6WENZyd4UPWvi,Grupo,ERROR,
340577258,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Kj9hC3NiBT77LkygW7nPiX,Grupo,ERROR,
4621837,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/D3gyYuH0Y0q82aNWRXdQ6i?fbclid=PAZXh0bgNhZW0CMTEAAafgUvBBwrIwwfWkvYGXtxUtr1emnN2cGgzICAHFmbInCGw7Xd9yjbRQicb7oQ_aem_62gMHOWgd9dyDnLQ1MWFaw,Grupo,ERROR,
47190880,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IglXEIKL0X6Fco4ika2iz5,Grupo,ERROR,
600049604,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IiCMiBV6jR5HbYdFh1fAp1,Grupo,ERROR,
2018286552,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BLEQ9LQyRqnHpZ2bVWmBeT,Grupo,ERROR,
301138223,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HBvVODelAE210I8mQbpZxF,Grupo,ERROR,
1453199461,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KTzHdnCLZkzAFYgqWaSqFn?fbclid=PAZXh0bgNhZW0CMTEAAacYYtqHsmlP-VN5s_k_v0SXlW8v19O79nXlRjQb5QJICnPvjp-HYWL2PvQidA_aem_bhK-IKlLNpW0_SSFN6WpAw,Grupo,ERROR,
211158953,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HQHx4Tr5C3M1kEKkgzsVxC?mode=ems_copy_t&fbclid=PAZXh0bgNhZW0CMTEAAacpe4HfJwoTXcFCXXHX2GpWSyGNtz7YH_lLwX1zs25qmeILYdSeuMvHWRpRxQ_aem_hq1hMcGK9YB82zPFAupThw,Grupo,ERROR,
